CatNum,HiRISE_img,ContainsArr
1140,ESP_012238_1315_ESP_012383_1315_RED_ANAGLYPH,0
769,"ESP_046566_1335_ESP_046711_1335_RED_ANAGLYPH,ESP_051814_1340_ESP_051748_1340_RED_ANAGLYPH","0,0"
1267,PSP_005465_1310_PSP_004832_1310_RED_ANAGLYPH,0
1265,"ESP_013165_1275_ESP_013244_1275_RED_ANAGLYPH,PSP_005333_1275_PSP_003711_1275_RED_ANAGLYPH","0,0"
1264,"ESP_013165_1275_ESP_013244_1275_RED_ANAGLYPH,PSP_005333_1275_PSP_003711_1275_RED_ANAGLYPH","0,0"
498,ESP_050096_2210_ESP_049819_2210_RED_ANAGLYPH,0
499,"ESP_016642_2215_ESP_017710_2215_RED_ANAGLYPH,ESP_050096_2210_ESP_049819_2210_RED_ANAGLYPH","0,0"
627,ESP_050558_2245_ESP_050281_2245_RED_ANAGLYPH,0
138,ESP_052254_2195_ESP_052544_2195_RED_ANAGLYPH,0
24,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,0
25,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,0
947,"ESP_020121_1410_ESP_020055_1410_RED_ANAGLYPH,PSP_001964_1415_PSP_002676_1415_RED_ANAGLYPH,PSP_003243_1415_PSP_002320_1415_RED_ANAGLYPH","0,0,0"
707,"ESP_013531_2140_ESP_022036_2140_RED_ANAGLYPH,ESP_019333_2140_ESP_019478_2140_RED_ANAGLYPH,ESP_022801_2140_ESP_022880_2140_RED_ANAGLYPH,ESP_022880_2140_ESP_031161_2140_RED_ANAGLYPH,ESP_026915_2145_ESP_034708_2145_RED_ANAGLYPH,PSP_010696_2140_PSP_010274_2140_RED_ANAGLYPH,PSP_010841_2140_PSP_010419_2140_RED_ANAGLYPH","0,0,0,0,0,0,0"
22,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,0
23,ESP_050285_2300_ESP_050074_2300_RED_ANAGLYPH,0
1072,"ESP_013001_1415_ESP_013146_1415_RED_ANAGLYPH,PSP_005670_1415_PSP_003692_1415_RED_ANAGLYPH","0,0"
758,ESP_013850_1415_ESP_013639_1415_RED_ANAGLYPH,0
407,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
406,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
540,ESP_016418_2255_ESP_017130_2255_RED_ANAGLYPH,0
541,ESP_016418_2255_ESP_017130_2255_RED_ANAGLYPH,0
340,PSP_008308_2160_PSP_008888_2160_RED_ANAGLYPH,0
341,PSP_008308_2160_PSP_008888_2160_RED_ANAGLYPH,0
544,ESP_016418_2255_ESP_017130_2255_RED_ANAGLYPH,0
1279,"ESP_013528_1380_ESP_013673_1380_RED_ANAGLYPH,ESP_016706_1380_ESP_016640_1380_RED_ANAGLYPH,PSP_004285_1375_ESP_012328_1375_RED_ANAGLYPH,PSP_005696_1380_PSP_005419_1380_RED_ANAGLYPH","0,0,0,0"
933,PSP_007515_1405_PSP_007159_1405_RED_ANAGLYPH,0
326,PSP_008954_2155_PSP_008598_2155_RED_ANAGLYPH,0
548,ESP_035327_2255_ESP_035828_2255_RED_ANAGLYPH,0
549,ESP_035327_2255_ESP_035828_2255_RED_ANAGLYPH,0
409,"ESP_019213_2210_ESP_019503_2210_RED_ANAGLYPH,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH","0,0"
408,"ESP_019213_2210_ESP_019503_2210_RED_ANAGLYPH,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH","0,0"
1083,"ESP_020860_1420_ESP_020794_1420_RED_ANAGLYPH,PSP_005670_1415_PSP_003692_1415_RED_ANAGLYPH,PSP_006672_1420_ESP_031910_1420_RED_ANAGLYPH","0,0,0"
628,"ESP_049991_2245_ESP_049714_2245_RED_ANAGLYPH,ESP_050558_2245_ESP_050281_2245_RED_ANAGLYPH","0,0"
718,PSP_003576_2165_PSP_003510_2165_RED_ANAGLYPH,0
716,"ESP_016076_2175_ESP_016221_2175_RED_ANAGLYPH,ESP_034972_2175_ESP_034695_2175_RED_ANAGLYPH,ESP_036884_2175_ESP_035618_2175_RED_ANAGLYPH","0,0,0"
715,"ESP_016076_2175_ESP_016221_2175_RED_ANAGLYPH,ESP_034972_2175_ESP_034695_2175_RED_ANAGLYPH,ESP_036884_2175_ESP_035618_2175_RED_ANAGLYPH","0,0,0"
999,"ESP_013528_1380_ESP_013673_1380_RED_ANAGLYPH,ESP_016706_1380_ESP_016640_1380_RED_ANAGLYPH,PSP_005696_1380_PSP_005419_1380_RED_ANAGLYPH","0,0,0"
1014,"ESP_046890_1355_PSP_003217_1355_RED_ANAGLYPH,ESP_057426_1350_ESP_057083_1350_RED_ANAGLYPH","0,0"
122,ESP_026975_2140_ESP_027331_2140_RED_ANAGLYPH,0
1015,"ESP_046890_1355_PSP_003217_1355_RED_ANAGLYPH,ESP_057426_1350_ESP_057083_1350_RED_ANAGLYPH","0,0"
1278,"ESP_013528_1380_ESP_013673_1380_RED_ANAGLYPH,ESP_016706_1380_ESP_016640_1380_RED_ANAGLYPH,PSP_005696_1380_PSP_005419_1380_RED_ANAGLYPH","0,0,0"
423,ESP_020835_2215_ESP_020558_2215_RED_ANAGLYPH,0
1069,"ESP_021783_1390_ESP_022073_1390_RED_ANAGLYPH,PSP_007819_1390_PSP_009612_1390_RED_ANAGLYPH","0,0"
1107,"PSP_001978_1445_PSP_001635_1445_RED_ANAGLYPH,ESP_048789_1445_ESP_048222_1445_RED_ANAGLYPH","0,0"
1231,"ESP_022775_1205_ESP_023065_1205_RED_ANAGLYPH,ESP_045311_1205_ESP_045245_1205_RED_ANAGLYPH","0,0"
58,ESP_050760_2240_ESP_050483_2240_RED_ANAGLYPH,0
55,ESP_050760_2240_ESP_050483_2240_RED_ANAGLYPH,0
54,"ESP_027143_2245_ESP_028343_2245_RED_ANAGLYPH,ESP_050760_2240_ESP_050483_2240_RED_ANAGLYPH","0,0"
1063,ESP_023141_1435_ESP_023642_1435_RED_ANAGLYPH,0
56,ESP_050760_2240_ESP_050483_2240_RED_ANAGLYPH,0
1007,"ESP_020530_1370_ESP_019897_1370_RED_ANAGLYPH,ESP_059338_1370_ESP_058916_1370_RED_ANAGLYPH","0,0"
53,"ESP_016238_2180_ESP_017161_2180_RED_ANAGLYPH,ESP_044101_2180_ESP_043824_2180_RED_ANAGLYPH","0,0"
424,ESP_020835_2215_ESP_020558_2215_RED_ANAGLYPH,0
414,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
536,"ESP_016141_2260_ESP_016431_2260_RED_ANAGLYPH,ESP_052285_2255_ESP_052509_2255_RED_ANAGLYPH","0,0"
534,ESP_016141_2260_ESP_016431_2260_RED_ANAGLYPH,0
410,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
411,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
412,"ESP_019213_2210_ESP_019503_2210_RED_ANAGLYPH,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH","0,0"
413,ESP_041406_2210_ESP_041129_2210_RED_ANAGLYPH,0
373,PSP_003245_2205_PSP_002902_2205_RED_ANAGLYPH,0
374,PSP_003245_2205_PSP_002902_2205_RED_ANAGLYPH,0
776,ESP_037612_1400_ESP_045999_1400_RED_ANAGLYPH,0
1087,ESP_031119_1405_ESP_031264_1405_RED_ANAGLYPH,0
1130,ESP_041393_1470_ESP_041116_1470_RED_ANAGLYPH,0
1085,"ESP_013001_1415_ESP_013146_1415_RED_ANAGLYPH,ESP_020293_1410_ESP_016047_1410_RED_ANAGLYPH,ESP_031119_1405_ESP_031264_1405_RED_ANAGLYPH","0,0,0"
1084,"ESP_013212_1415_ESP_012935_1415_RED_ANAGLYPH,ESP_020860_1420_ESP_020794_1420_RED_ANAGLYPH,PSP_001714_1415_PSP_002136_1415_RED_ANAGLYPH,PSP_001846_1415_PSP_001714_1415_RED_ANAGLYPH,PSP_001846_1415_PSP_002136_1415_RED_ANAGLYPH,PSP_005670_1415_PSP_003692_1415_RED_ANAGLYPH,PSP_006672_1420_ESP_031910_1420_RED_ANAGLYPH","0,0,0,0,0,0,0"
199,PSP_007884_2195_PSP_006961_2195_RED_ANAGLYPH,0
198,"PSP_004192_2195_ESP_012446_2195_RED_ANAGLYPH,PSP_007884_2195_PSP_006961_2195_RED_ANAGLYPH","0,0"
1081,ESP_020860_1420_ESP_020794_1420_RED_ANAGLYPH,0
774,ESP_048623_1385_ESP_049124_1385_RED_ANAGLYPH,0
312,PSP_003482_2115_PSP_005895_2115_RED_ANAGLYPH,0
980,ESP_020543_1345_ESP_029246_1345_RED_ANAGLYPH,0
196,PSP_002214_2210_PSP_001528_2210_RED_ANAGLYPH,0
986,"ESP_013528_1380_ESP_013673_1380_RED_ANAGLYPH,ESP_016706_1380_ESP_016640_1380_RED_ANAGLYPH","0,0"
1125,"ESP_048658_1520_ESP_047590_1520_RED_ANAGLYPH,ESP_052271_1520_ESP_051849_1520_RED_ANAGLYPH","0,0"
